央视,＃genre＃
贵州卫视高清,http://36.158.166.3:8089/180000001002/00000001000000000010000000040424/main.m3u8
河北卫视高清,http://36.158.166.3:8089/180000001002/00000001000000000016000000007223/main.m3u8
吉林卫视高清,http://36.158.166.3:8089/180000001002/00000001000000000057000000208223/main.m3u8
陕西卫视高清,http://36.158.166.3:8089/180000001002/00000001000000000090000000215607/main.m3u8
山西卫视,http://36.158.166.3:8089/180000001002/00000000000000020000000000182271/main.m3u8
内蒙古卫视,http://36.158.166.3:8089/180000001002/00000000000000020000000000182272/main.m3u8
宁夏卫视,http://36.158.166.3:8089/180000001002/00000000000000020000000000182273/main.m3u8
西藏卫视,http://36.158.166.3:8089/180000001002/00000000000000020000000000182274/main.m3u8
新疆卫视,http://36.158.166.3:8089/180000001002/00000000000000020000000000182275/main.m3u8
甘肃卫视高清,http://36.158.166.3:8089/180000001002/00000001000000000050000000133802/main.m3u8
卡酷少儿高清,http://36.158.166.3:8089/180000001002/00000001000000000090000000215608/main.m3u8
优漫卡通,http://36.158.166.3:8089/180000001002/00000000000000020000000000182321/main.m3u8
青海卫视高清,http://36.158.166.3:8089/180000001001/00000001000000000090000000215609/main.m3u8
大湾区卫视,http://36.158.166.3:8089/180000001002/00000000000000020000000000182538/main.m3u8
哈哈炫动,http://36.158.166.3:8089/180000001002/00000000000000020000000000182497/main.m3u8
山东教育,http://36.158.166.3:8089/180000001002/00000001000000000016000000007227/main.m3u8
厦门卫视,http://36.158.166.3:8089/180000001002/00000001000000000022000000381023/main.m3u8
兵团卫视,http://36.158.166.3:8089/180000001002/00000001000000000022000000381024/main.m3u8
嘉佳卡通,http://36.158.166.3:8089/180000001002/00000001000000000022000000381025/main.m3u8
天元围棋,http://36.158.166.3:8089/180000001002/00000001000000000010000000040365/main.m3u8
梨园,http://36.158.166.3:8089/180000001002/00000001000000000064000000308847/main.m3u8
四海钓鱼,http://36.158.166.3:8089/180000001002/00000001000000000010000000040367/main.m3u8
快乐垂钓,http://36.158.166.3:8089/180000001002/00000001000000000010000000040368/main.m3u8
文物宝库,http://36.158.166.3:8089/180000001002/00000001000000000064000000308848/main.m3u8
百姓健康,http://36.158.166.3:8089/180000001002/00000001000000000010000000040371/main.m3u8
新动漫,http://36.158.166.3:8089/180000001002/00000001000000000050000000448837/main.m3u8
优优宝贝,http://36.158.166.3:8089/180000001002/00000001000000000010000000040377/main.m3u8
老故事,http://36.158.166.3:8089/180000001002/00000001000000000050000000448839/main.m3u8
家庭理财,http://36.158.166.3:8089/180000001002/00000001000000000010000000040379/main.m3u8
财富天下,http://36.158.166.3:8089/180000001002/00000001000000000010000000040380/main.m3u8
武术世界,http://36.158.166.3:8089/180000001002/00000001000000000064000000308859/main.m3u8
家庭影院,http://36.158.166.3:8089/180000001002/00000001000000000050000000448840/main.m3u8
影迷电影,http://36.158.166.3:8089/180000001002/00000001000000000050000000448841/main.m3u8
动作电影,http://36.158.166.3:8089/180000001002/00000001000000000050000000448842/main.m3u8
书画,http://36.158.166.3:8089/180000001002/00000001000000000050000000448843/main.m3u8
靓妆,http://36.158.166.3:8089/180000001002/00000001000000000064000000308865/main.m3u8
中华特产,http://36.158.166.3:8089/180000001002/00000001000000000050000000448845/main.m3u8
环球旅游,http://36.158.166.3:8089/180000001002/00000001000000000064000000308870/main.m3u8
车迷,http://36.158.166.3:8089/180000001002/00000001000000000064000000308873/main.m3u8
第一剧场,http://36.158.166.3:8089/180000001002/00000001000000000091000000244808/main.m3u8
风云剧场,http://36.158.166.3:8089/180000001002/00000001000000000091000000244807/main.m3u8
风云音乐,http://36.158.166.3:8089/180000001002/00000001000000000091000000244809/main.m3u8
风云足球,http://36.158.166.3:8089/180000001002/00000001000000000091000000244800/main.m3u8
怀旧剧场,http://36.158.166.3:8089/180000001002/00000001000000000091000000244806/main.m3u8
女性时尚,http://36.158.166.3:8089/180000001002/00000001000000000091000000244811/main.m3u8
央视文化精品,http://36.158.166.3:8089/180000001002/00000001000000000091000000244810/main.m3u8
世界地理,http://36.158.166.3:8089/180000001002/00000001000000000091000000244805/main.m3u8
央视台球,http://36.158.166.3:8089/180000001002/00000001000000000091000000244803/main.m3u8
兵器科技,http://36.158.166.3:8089/180000001002/00000001000000000091000000244796/main.m3u8
电视指南,http://36.158.166.3:8089/180000001002/00000001000000000091000000244797/main.m3u8
高尔夫网球,http://36.158.166.3:8089/180000001002/00000001000000000091000000244801/main.m3u8
先锋乒羽,http://36.158.166.3:8089/180000001002/00000000000000020000000000182319/main.m3u8
茶频道,http://36.158.166.3:8089/180000001002/00000001000000000003000000104063/main.m3u8
中国天气,http://36.158.166.3:8089/180000001002/00000001000000000004000000182438/main.m3u8
